,Word,Rating,Year,Ship,Line,Negative,Positive,Total
2095,drinks package,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
2096,drinks package,good,2013,MSC Armonia,Msc,0.0,2.0,2.0
2097,drinks package,good,2013,MSC Fantasia,Msc,0.0,1.0,1.0
2098,drinks package,good,2013,MSC Magnifica,Msc,0.0,2.0,2.0
2099,drinks package,good,2014,MSC Armonia,Msc,0.0,2.0,2.0
2100,drinks package,good,2014,MSC Fantasia,Msc,1.0,1.0,2.0
2101,drinks package,good,2014,MSC Lirica,Msc,0.0,1.0,1.0
2102,drinks package,good,2014,MSC Magnifica,Msc,0.0,1.0,1.0
2103,drinks package,good,2014,MSC Orchestra,Msc,0.0,1.0,1.0
2104,drinks package,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
2105,drinks packages,bad,2014,MSC Preziosa,Msc,0.0,1.0,1.0
2106,drinks packages,good,2013,MSC Armonia,Msc,1.0,0.0,1.0
2107,drinks packages,good,2014,MSC Divina,Msc,1.0,0.0,1.0
2108,drinks service,good,2013,MSC Fantasia,Msc,0.0,1.0,1.0
2109,drinks waiters,bad,2010,MSC Splendida,Msc,0.0,1.0,1.0
2110,drinks waiters,good,2013,MSC Opera,Msc,1.0,0.0,1.0
2111,driver,bad,2010,MSC Orchestra,Msc,1.0,0.0,1.0
2112,dry dock,bad,2010,MSC Poesia,Msc,1.0,0.0,1.0
2113,dry glasses,bad,2013,MSC Poesia,Msc,1.0,0.0,1.0
2114,dry hot saunas,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2115,dry spongy cake,bad,2009,MSC Musica,Msc,1.0,0.0,1.0
2116,du soleiltype acrobats,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
2117,dual piano bar,good,2014,MSC Divina,Msc,1.0,0.0,1.0
2118,dubai cruise,good,2014,MSC Lirica,Msc,1.0,0.0,1.0
2119,dubai mall,good,2014,MSC Lirica,Msc,0.0,1.0,1.0
2120,dubious quality,bad,2009,MSC Musica,Msc,1.0,0.0,1.0
2121,dubrovnik,bad,2008,MSC Musica,Msc,0.0,1.0,1.0
2122,duelling duo,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2123,duelling pianos men,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2124,dull menu,bad,2011,MSC Opera,Msc,1.0,0.0,1.0
2125,dull ship,good,2013,MSC Divina,Msc,1.0,0.0,1.0
2126,duo ameritalian,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2127,dusk dining,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
2128,duty free shop,bad,2011,MSC Opera,Msc,0.0,1.0,1.0
2129,earl gray tea,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
2130,early lunch,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2131,early morning,good,2010,MSC Magnifica,Msc,0.0,1.0,1.0
2132,early morning arrival,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2133,early morning docking,bad,2013,MSC Lirica,Msc,1.0,0.0,1.0
2134,early seating guests,good,2013,MSC Divina,Msc,0.0,1.0,1.0
2135,early wake,good,2014,MSC Divina,Msc,1.0,0.0,1.0
2136,ease,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
2137,easter school holidays,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
2138,eastern caribbean cruise,bad,2009,MSC Orchestra,Msc,1.0,0.0,1.0
2139,eastern caribbean cruise,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2140,eastern caribbean route,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2141,easy breezy,good,2014,MSC Musica,Msc,0.0,1.0,1.0
2142,easy cruise,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
2143,easy going travelers,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
2144,easy operating,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2145,easy peasy,good,2011,MSC Opera,Msc,0.0,1.0,1.0
2146,easy process,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2147,easy seating,good,2013,MSC Divina,Msc,0.0,1.0,1.0
2148,easy task,good,2011,MSC Opera,Msc,0.0,1.0,1.0
2149,easy walk,bad,2011,MSC Fantasia,Msc,0.0,1.0,1.0
2150,easy walking distance,good,2008,MSC Lirica,Msc,0.0,1.0,1.0
2151,easy way,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
2152,eating behavior,bad,2008,MSC Orchestra,Msc,1.0,0.0,1.0
