,Word,Rating,Year,Ship,Line,Negative,Positive,Total
1185,gluten free guests,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
1186,gold swarovski crystals,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
1187,golden jazz bar,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1188,good acts,good,2012,MSC Splendida,Msc,1.0,0.0,1.0
1189,good alternative,bad,2012,MSC Splendida,Msc,0.0,1.0,1.0
1190,good appetite,bad,2008,MSC Musica,Msc,0.0,1.0,1.0
1191,good area,good,2012,MSC Divina,Msc,0.0,1.0,1.0
1192,good barsloungeseach,good,2013,MSC Opera,Msc,0.0,1.0,1.0
1193,good book,good,2009,MSC Orchestra,Msc,1.0,0.0,1.0
1194,good buffet restaurant,good,2012,MSC Sinfonia,Msc,0.0,1.0,1.0
1195,good choices,bad,2010,MSC Poesia,Msc,0.0,1.0,1.0
1196,good coffee,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1197,good company,bad,2011,MSC Poesia,Msc,0.0,1.0,1.0
1198,good cruise line,good,2010,MSC Splendida,Msc,0.0,1.0,1.0
1199,good cruise ship,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
1200,good dinner table,good,2012,MSC Divina,Msc,0.0,1.0,1.0
1201,good drink,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
1202,good english,good,2013,MSC Splendida,Msc,0.0,1.0,1.0
1203,good enough food,good,2009,MSC Splendida,Msc,0.0,1.0,1.0
1204,good food,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
1205,good food,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
1206,good food,good,2014,MSC Opera,Msc,0.0,1.0,1.0
1207,good food,good,2015,MSC Divina,Msc,0.0,1.0,1.0
1208,good friends,good,2011,MSC Fantasia,Msc,0.0,1.0,1.0
1209,good friends,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1210,good friends,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
1211,good fun,good,2013,MSC Armonia,Msc,0.0,1.0,1.0
1212,good fun,good,2013,MSC Fantasia,Msc,0.0,1.0,1.0
1213,good hot shower,bad,2012,MSC Fantasia,Msc,0.0,1.0,1.0
1214,good italian wines,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1215,good job,bad,2014,MSC Fantasia,Msc,0.0,1.0,1.0
1216,good job,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1217,good light,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
1218,good luck,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
1219,good luck,bad,2014,MSC Fantasia,Msc,0.0,1.0,1.0
1220,good magforte segafreddo,good,2013,MSC Orchestra,Msc,0.0,1.0,1.0
1221,good meat choice,bad,2012,MSC Splendida,Msc,1.0,0.0,1.0
1222,good mix,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
1223,good mood,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1224,good news,good,2013,MSC Divina,Msc,0.0,1.0,1.0
1225,good nightno sleep,bad,2013,MSC Poesia,Msc,1.0,0.0,1.0
1226,good ones,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
1227,good pasta,bad,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1228,good pizza,good,2015,MSC Divina,Msc,0.0,1.0,1.0
1229,good pizzeria,good,2011,MSC Divina,Msc,0.0,1.0,1.0
1230,good place,bad,2013,MSC Poesia,Msc,1.0,0.0,1.0
1231,good price,good,2012,MSC Armonia,Msc,0.0,1.0,1.0
1232,good price holiday,bad,2010,MSC Musica,Msc,0.0,1.0,1.0
1233,good quality,bad,2011,MSC Orchestra,Msc,0.0,1.0,1.0
1234,good quality,good,2012,MSC Splendida,Msc,1.0,0.0,1.0
1235,good quality entertainment,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
1236,good quality food,good,2013,MSC Opera,Msc,0.0,1.0,1.0
1237,good quality servewd,good,2011,MSC Orchestra,Msc,0.0,1.0,1.0
1238,good range,good,2013,MSC Divina,Msc,0.0,1.0,1.0
1239,good salad,good,2014,MSC Lirica,Msc,0.0,1.0,1.0
1240,good seafood meal,good,2011,MSC Sinfonia,Msc,0.0,1.0,1.0
1241,good segue,bad,2010,MSC Poesia,Msc,0.0,1.0,1.0
1242,good selection,good,2013,MSC Armonia,Msc,0.0,1.0,1.0
1243,good selection,good,2013,MSC Preziosa,Msc,0.0,1.0,1.0
1244,good selection,good,2014,MSC Magnifica,Msc,0.0,1.0,1.0
1245,good sense,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1246,good service,bad,2012,MSC Musica,Msc,0.0,1.0,1.0
1247,good service,good,2010,MSC Sinfonia,Msc,0.0,1.0,1.0
1248,good service,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1249,good service,good,2015,MSC Divina,Msc,0.0,1.0,1.0
1250,good shower space,good,2013,MSC Preziosa,Msc,0.0,1.0,1.0
1251,good shows,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
1252,good size,bad,2013,MSC Splendida,Msc,0.0,1.0,1.0
1253,good size,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
1254,good sized bathroom,good,2010,MSC Fantasia,Msc,0.0,1.0,1.0
1255,good sized bathroom,good,2014,MSC Lirica,Msc,0.0,1.0,1.0
1256,good sized room,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1257,good sized wardrobe,bad,2013,MSC Divina,Msc,0.0,1.0,1.0
1258,good sized window,bad,2012,MSC Armonia,Msc,0.0,1.0,1.0
1259,good standard,good,2013,MSC Armonia,Msc,0.0,1.0,1.0
1260,good standard,good,2013,MSC Opera,Msc,0.0,1.0,1.0
1261,good start,good,2013,MSC Opera,Msc,0.0,1.0,1.0
1262,good steak,bad,2011,MSC Poesia,Msc,0.0,1.0,1.0
1263,good supply,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1264,good swimmers,good,2008,MSC Poesia,Msc,1.0,0.0,1.0
1265,good taster,bad,2014,MSC Sinfonia,Msc,0.0,1.0,1.0
1266,good thing,good,2013,MSC Divina,Msc,0.0,1.0,1.0
1267,good things,bad,2013,MSC Divina,Msc,0.0,1.0,1.0
1268,good time,bad,2009,MSC Poesia,Msc,0.0,1.0,1.0
1269,good time,bad,2010,MSC Poesia,Msc,0.0,1.0,1.0
1270,good time,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1271,good time,good,2011,MSC Magnifica,Msc,0.0,1.0,1.0
1272,good times,good,2014,MSC Divina,Msc,1.0,0.0,1.0
1273,good tip,good,2012,MSC Musica,Msc,0.0,1.0,1.0
1274,good value,bad,2014,MSC Fantasia,Msc,1.0,0.0,1.0
1275,good value,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
1276,good value,good,2011,MSC Orchestra,Msc,0.0,1.0,1.0
1277,good value,good,2013,MSC Armonia,Msc,1.0,0.0,1.0
1278,good value,good,2014,MSC Orchestra,Msc,0.0,1.0,1.0
1279,good varied food,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
1280,good variety,bad,2013,MSC Poesia,Msc,0.0,1.0,1.0
1281,good variety,good,2009,MSC Lirica,Msc,0.0,1.0,1.0
