,Word,Rating,Year,Ship,Line,Negative,Positive,Total
2576,complain,bad,2014,MSC Opera,Msc,1.0,0.0,1.0
2577,complaint,bad,2009,MSC Orchestra,Msc,1.0,0.0,1.0
2578,complaint,good,2009,MSC Lirica,Msc,1.0,0.0,1.0
2579,complaint,good,2009,MSC Orchestra,Msc,1.0,0.0,1.0
2580,complaint,good,2013,MSC Poesia,Msc,1.0,0.0,1.0
2581,complaint,good,2014,MSC Divina,Msc,1.0,0.0,1.0
2582,complaints,good,2014,MSC Magnifica,Msc,1.0,0.0,1.0
2583,complementary bottle,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
2584,complementary drinks,bad,2012,MSC Divina,Msc,0.0,1.0,1.0
2585,complete disorganization,bad,2008,MSC Lirica,Msc,1.0,0.0,1.0
2586,complete disregard,bad,2011,MSC Poesia,Msc,1.0,0.0,1.0
2587,complete exhaustion,bad,2009,MSC Fantasia,Msc,1.0,0.0,1.0
2588,complete exhaustion,bad,2010,MSC Poesia,Msc,1.0,0.0,1.0
2589,complete joke,bad,2012,MSC Magnifica,Msc,1.0,0.0,1.0
2590,complete lack,bad,2012,MSC Musica,Msc,1.0,0.0,1.0
2591,complete lack,good,2011,MSC Orchestra,Msc,1.0,0.0,1.0
2592,complete prawns,bad,2013,MSC Armonia,Msc,1.0,0.0,1.0
2593,complete refund,bad,2011,MSC Musica,Msc,1.0,0.0,1.0
2594,complete rip,bad,2011,MSC Splendida,Msc,1.0,0.0,1.0
2595,complete rip,bad,2012,MSC Magnifica,Msc,1.0,0.0,1.0
2596,complete rip,good,2011,MSC Splendida,Msc,1.0,0.0,1.0
2597,complete sets,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
2598,complete shambles,bad,2014,MSC Opera,Msc,1.0,0.0,1.0
2599,complete shambles,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
2600,complete strangers,good,2012,MSC Armonia,Msc,0.0,1.0,1.0
2601,complete waste,bad,2011,MSC Opera,Msc,1.0,0.0,1.0
2602,complete waste,bad,2011,MSC Orchestra,Msc,1.0,0.0,1.0
2603,complete waste,bad,2014,MSC Armonia,Msc,1.0,0.0,1.0
